author,content,description,publishedAt,source.id,source.name,title,url,urlToImage
A.J. Perez,"Colin Kaepernick, Eric Reid and the NFL agreed to settle on Friday, but the case wont truly be resolved until Kaepernick is back on the field. USA TODAY Sports Nike has launched its first Colin Kaepernick jersey since the former San Francisco 49ers quarterbac… [+1861 chars]",Nike launched its first Colin Kaepernick jersey since the former San Francisco 49ers quarterback was featured in an ad campaign in September.,2019-02-20T18:32:00Z,usa-today,USA Today,Nike launches 'Icon' Colin Kaepernick jersey days after collusion case settles - USA TODAY,https://www.usatoday.com/story/sports/nfl/2019/02/20/nike-colin-kaepernick-icon-jersey/2928175002/,"https://www.gannett-cdn.com/presto/2019/02/18/USAT/bcb1722a-e3f0-44e0-a203-b43e03b753a8-XXX_IMG_NFL_SAN_FRANCISCO_49_1_1_QIO2271H.JPG?crop=4672,2628,x9,y0&width=3200&height=1680&fit=bounds"
,"The Cleveland Browns have signed WR Jaelen Strong. Strong, 6-2, 220 pounds, is officially in his third NFL season and was originally a third-round pick (70th overall) by the Houston Texans in 2015. Strong has played in 20 career games with three starts, as we… [+385 chars]",Former 3rd-round pick has appeared in 20 games since 2015,2019-02-20T18:27:10Z,,Clevelandbrowns.com,Browns sign WR Jaelen Strong - clevelandbrowns.com,https://www.clevelandbrowns.com/news/browns-sign-wr-jaelen-strong,https://static.clubs.nfl.com/image/private/t_editorial_landscape_12_desktop/browns/ylaf4iga6q537zowjfzx
,"Manny Machado chose Southern California over the Windy City, and the Chicago White Sox appear ready to move on. Machado agreed to a record 10-year, $300 million deal with the San Diego Padres on Tuesday, sources told ESPN's Jeff Passan. Outspoken White Sox sh… [+2056 chars]",Tim Anderson says Manny Machado 'might have' missed the boat by choosing the Padres over the White Sox.,2019-02-20T18:26:52Z,,Espn.com,Tim Anderson says Manny Machado 'might have' missed the boat choosing Padres over White Sox - ESPN,http://www.espn.com/mlb/story/_/id/26038769/tim-anderson-says-manny-machado-missed-boat-choosing-padres-white-sox,https://a3.espncdn.com/combiner/i?img=%2Fphoto%2F2019%2F0219%2Fr503946_1296x729_16%2D9.jpg
,"As Matt Ehalt of Northjersey.com first reported, new Mets infielder, Jed Lowrie is dealing with left knee soreness that has limited his activity so far this spring. Manager, Mickey Callaway says they will be “cautious” with him moving forward and he will rece… [+1338 chars]","As Matt Ehalt of Northjersey.com first reported, new Mets infielder, Jed Lowrie is dealing with left knee soreness that has limited his activity so far this spring. Manager, Mickey Callaway says t",2019-02-20T18:16:48Z,,Metsmerizedonline.com,Lowrie Dealing With Knee Soreness - metsmerizedonline.com,https://metsmerizedonline.com/2019/02/lowrie-dealing-with-knee-soreness.html/,https://metsmerizedonline.com/wp-content/uploads/2019/01/jed-lowrie-hr.jpg
Morgan Moriarty,"Welp, Steve Spurriers AAF team now has to practice in the home state of one of his biggest rivals. The Orlando Apollos, who play their home games at UCFs Spectrum Stadium, will now have to practice in Georgia thanks to Floridas workers compensation laws. The … [+3983 chars]","Thanks to Florida’s workers’ comp laws, Steve Spurrier’s team will have to spend half its season practicing in Georgia, even as it bases itself in one Florida city and plays home games in another.",2019-02-20T18:06:57Z,,Sbnation.com,"Steve Spurrier’s Orlando AAF team is partially relocating to Georgia, which is weird - SB Nation",https://www.sbnation.com/college-football/2019/2/20/18233238/aaf-orlando-apollos-practicing-georgia-steve-spurrier,https://cdn.vox-cdn.com/thumbor/w2NOnRxj9tfMYbemfOJmxsvZw1Q=/0x14:526x289/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/14047394/Screen_Shot_2019_02_20_at_12.45.14_PM.png
,"Antonio Brown has created a lot of off-field questions in recent weeks as he's forced the Steelers' hand into an imminent trade. But, even as Brown approaches age 31 this summer, there isn't a team in the NFL that wouldn't benefit from his on-field presence. … [+799 chars]","Now that Pittsburgh dealing Brown appears imminent, where is he most likely to be dealt?",2019-02-20T18:06:00Z,,Profootballweekly.com,The most logical landing spots for Antonio Brown - Pro Football Weekly,https://www.profootballweekly.com/lists/2019/02/20/7889adc509044fffb1bfe0fbec99dc4b/index.xml,https://www.profootballweekly.com/_internal/cimg!0/l12h8lqzycjsgvpmab8t6cbq6hl7gfp
Kelly Hinkle,"Recently, we told you about our partnership with the Ed Snider Youth Hockey Foundation to help them raise money for their effort to renovate the Class of 23 rink at the University of Pennsylvania. Snider Hockey plans to use the rink as its home base for the k… [+943 chars]",Oh baby we’ve got some good names here.,2019-02-20T18:00:00Z,,Broadstreethockey.com,Flyers Alumni Showdown lineup revealed - Broad Street Hockey,https://www.broadstreethockey.com/2019/2/20/18233435/flyers-alumni-showdown-lineup-revealed,https://cdn.vox-cdn.com/thumbor/3lJMvNxNWDzfrGShInzMjZxFzDA=/0x0:3000x1571/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13236315/136482388.jpg.jpg
,"Welcome to the Wednesday edition of The Cooler, where I know what youre thinking: again? Lets get to it: *The divide between the current Gophers coaching regime and the previous one has played out at a low simmer for the past two years since P.J. Fleck took o… [+2720 chars]","Welcome to the Wednesday edition of The Cooler, where I know what you're thinking: again? Let's get to it:
*The divide between the current Gophers coaching regime and the previous one has played out at a low simmer for the past two years since P.J. Fleck took…",2019-02-20T17:36:14Z,,Startribune.com,P.J. Fleck retweets his wife Heather's subtle rebuttal of Jerry Kill - Star Tribune,http://www.startribune.com/p-j-fleck-retweets-his-wife-heathers-subtle-rebuttal-of-jerry-kill/506104862/,http://stmedia.stimg.co/randball-p-j-fleck-retweets-his-wife-heathers-subtle-rebuttal-of-jerry-kill-fleck.jpg?h=630&w=1200&fit=crop&bg=999&crop=faces
Thomas Barrabi,Hall of Fame basketball coach Rick Pitino on the fallout from the college recruiting scandal allegations and the debate over paying student athletes. The University of North Carolina and Duke’s storied rivalry is always a major storyline during the college ba… [+2118 chars],"The buzz around Zion Williamson, who is widely considered a lock to be the first overall pick in the 2019 NBA Draft, has generated significant interest in this year’s matchup.",2019-02-20T17:32:08Z,,Foxbusiness.com,UNC-Duke basketball ticket prices approach Super Bowl levels: Here's why - Fox Business,https://www.foxbusiness.com/retail/unc-duke-basketball-ticket-prices-approach-super-bowl-levels-heres-why,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2019/02/0/0/Zion-Williamson.jpg?ve=1&tl=1
,"Amid a run of poor results, which has left the club languishing in sixth in the English Premier League table, Chelsea fans have seemingly grown tired of bashing besieged manager Maurizio Sarri and his brand of 'Sarri ball', and have instead begun to question … [+3803 chars]","Following frustration with manager Maurizio Sarri and a string of below-par signings, Chelsea fans have begun to question Marina Granovskaia, mastermind behind the transfers and also known as ""the most powerful woman in football.""",2019-02-20T17:14:00Z,rt,RT,'Marina out!': Chelsea fans turn on 'most powerful woman in football' Granovskaia amid poor form - RT,https://www.rt.com/sport/452008-marina-granovskaia-sarri-chealsea-abramovich/,https://cdni.rt.com/files/2019.02/article/5c6d8ba7fc7e93b90b8b4639.jpg
Eric Crawford,"LOUISVILLE, Ky. (WDRB) The status of Kentucky graduate transfer center Reid Travis sprained knee moves to center stage as the states greatest preoccupation until further information is shared by the university. Travis, who has been a fantastic addition to the… [+2464 chars]",The status of Kentucky graduate transfer center Reid Travis’ sprained knee moves to center stage as the state’s greatest preoccupation until further information is shared by the university.,2019-02-20T16:51:00Z,,Wdrb.com,CRAWFORD | Travis' knee injury could shake things up for Kentucky's young bigs - WDRB,https://www.wdrb.com/news/crawford-travis-knee-injury-could-shake-things-up-for-kentucky/article_ca88227c-352f-11e9-82b5-0fc973a71757.html,https://bloximages.newyork1.vip.townnews.com/wdrb.com/content/tncms/assets/v3/editorial/8/c3/8c36e63c-3531-11e9-b80c-1f5dbc901dbd/5c6d88dd8abe3.image.jpg?resize=840%2C630
,Radko Gudas was burned by his reputation Wednesday and it will cost him from playing in two of the Flyers' biggest games this season. The NHL's Department of Player Safety handed down a two-game suspension for Gudas' high-sticking infraction to the head of Li… [+3018 chars],Is another suspension coming for Radko Gudas after his high stick to the Lightning's Nikita Kucherov? By John Boruk,2019-02-20T16:50:43Z,,Nbcsports.com,Gudas gets called into vice principal's office again - NBCSports.com,https://www.nbcsports.com/philadelphia/flyers/radko-gudas-have-nhl-player-safety-hearing-high-sticking-lightnings-nikita-kucherov,https://www.nbcsports.com/philadelphia/sites/csnphilly/files/2019/02/20/usa-radko-gudas.jpg
Mike Bianchi,"Orlando Apollos coach Steve Spurrier shed some new light on why Tom Dundon, the owner of the NHL s Carolina Hurricanes, supplied the Alliance of American Football with what appears to have been a $250 million league-saving lifeline earlier this week. Spurrier… [+4778 chars]",Orlando Apollos Coach Steve Spurrier on the NHL owner's sudden bailout to AAF: Original investor backed out,2019-02-20T16:35:00Z,,Orlandosentinel.com,Steve Spurrier on NHL owner's sudden bailout for AAF: Original investor backed out - Orlando Sentinel,https://www.orlandosentinel.com/sports/open-mike/os-sp-spurrier-aaf-carolina-hurricanes-20190220-story.html,https://www.trbimg.com/img-5c6df112/turbine/os-sp-spurrier-aaf-carolina-hurricanes-20190220
nicole-yang,"During the NBA All-Star break, Celtics point guard Kyrie Irving openly acknowledged the current season has been a trying year for the team. We basically have a bunch of young men in our locker room that feel like theyre capable of doing a lot more than theyre… [+2908 chars]","“I’m 26 years old heading into my prime. Why do I have to wait for anybody?""",2019-02-20T16:22:38Z,,Boston.com,"'It's been a trying year for us': Kyrie Irving talks Celtics' struggles, free agency buzz in ESPN interview - Boston.com",https://www.boston.com/sports/boston-celtics/2019/02/20/kyrie-irving-free-agency-espn,https://www.boston.com/wp-content/uploads/2019/02/download-7-7-850x478.jpeg
,"Tiger Woods is making his competitive Mexican debut this week at Chapultepec Golf Club. But more than adjusting to the culture, that means adjusting to the altitude. During his pre-tournament press conference Wednesday, Woods acknowledged that figuring out ya… [+2088 chars]","Tiger Woods is making his competitive Mexican debut this week at Chapultepec Golf Club. But more than adjusting to the culture, that means adjusting to the altitude. During his pre-tournament press conference Wednesday, Woods acknowledged that figuring out ya…",2019-02-20T16:10:12Z,,Golf.com,Tiger Woods says he's hitting wedges 180 yards in Mexico - Golf.com,https://www.golf.com/news/2019/02/20/tiger-woods-hitting-wedges-180-yards-mexico/,https://www.golf.com/wp-content/uploads/2019/02/TigerWGCMexico.jpg
Arden Dier,"(Newser) A former NFL player was fatally shot over the weekend in what authorities say was a dispute over a parking space. Anthony ""TJ"" Cunningham, who played part of the 1996 season with the Seattle Seahawks, was allegedly shot three times by a man who lived… [+1282 chars]",TJ Cunningham's neighbor is charged with murder after alleged parking dispute,2019-02-20T15:46:00Z,,Newser.com,"Former Seattle Seahawks Player TJ Cunningham Shot Dead in School Lot in Aurora, Colorado - Newser",http://www.newser.com/story/271569/nfler-turned-assistant-principal-killed-in-school-lot.html,http://img2-azrcdn.newser.com/image/1224057-12-20190220101215.jpeg
,"In maybe the least surprising news in Ryder Cup history, Steve Stricker has been named captain of the 2020 United States team. Stricker will captain the Americans at Whistling Straits in his home state of Wisconsin against Padraig Harrington and his European … [+1341 chars]",The Americans have their leader for Whistling Straits,2019-02-20T15:17:00Z,,Cbssports.com,2020 Ryder Cup: Steve Stricker named captain for United States team - CBS Sports,https://www.cbssports.com/golf/news/2020-ryder-cup-steve-stricker-named-captain-for-united-states-team/,https://sportshub.cbsistatic.com/i/r/2017/09/26/798b93b5-7496-4296-a332-e67f6fe7a6b5/thumbnail/770x433/eca54da9f1b469733ecf15b18ccc4704/steve-stricker-9-26-17.png
,"Sometimes, its hard to know exactly who a goalless draw in the first leg of a European tie works out best for. With away goals in play at least for now theres that age-old toss-up between denying your opposition a precious strike away from home turf, but know… [+3204 chars]",Liverpool have it all to do in their Champions League last-16 second leg at the Allianz Arena – but what does history tell us about their...,2019-02-20T14:05:31Z,four-four-two,FourFourTwo,Who goes through most often when the first leg in Europe finishes 0-0? - FourFourTwo,https://www.fourfourtwo.com/features/who-goes-through-most-often-when-first-leg-europe-finishes-0-0,https://images.cdn.fourfourtwo.com/sites/fourfourtwo.com/files/bayern_liverpool.jpg
Donald Wine II,"FIFA is about to expand the World Cup to a 48-team tournament, up from its current format of 32 teams. Whether its in 2026 for the World Cup that will take place in the United States, Mexico, or Canada, or if FIFA president Gianni Infantino gets his way and e… [+1791 chars]","When the World Cup expands to 48 teams, what’s the best way to do it?",2019-02-20T14:00:00Z,,Starsandstripesfc.com,Community Corner: What’s the best format for a 48-team World Cup? - Stars and Stripes FC,https://www.starsandstripesfc.com/2019/2/20/18232859/community-corner-world-cup-48-teams-format,https://cdn.vox-cdn.com/thumbor/COcjeb72k9zkg0xS9KZi0IMuzGE=/0x335:4307x2590/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/14003011/1001036106.jpg.jpg
,"As Grants health faltered in recent years, the group drifted apart even as it added three new members: Dontrelle Willis, C.C. Sabathia and David Price. This group deserves to be more than just a footnote in baseball history, said Bob Kendrick, the president o… [+1424 chars]","Just four years after Major League Baseball’s integration, Newcombe won 20 games for the Dodgers. That was the start of an extraordinary club.",2019-02-20T12:00:05Z,the-new-york-times,The New York Times,"In Don Newcombe, Baseball Got Its First Black Ace - The New York Times",https://www.nytimes.com/2019/02/20/sports/don-newcombe-black-aces.html,https://static01.nyt.com/images/2019/02/21/sports/21blackaces-web1/21blackaces-web1-facebookJumbo.jpg
Tim Benz,,"Now that “Mr. Big Chest” has spoken, the path for the Pittsburgh Steelers appears to be clear. Antonio Brown posted a photo of himself with team owner Art Rooney II on social media Tuesday. Had a great meeting with Mr.Rooney today we discussed a lot of things…",2019-02-20T11:09:47Z,,Triblive.com,Tim Benz: Antonio Brown getting his way doesn't mean Steelers lose - Tribune-Review,https://triblive.com/sports/tim-benz-antonio-brown-getting-his-way-doesnt-mean-steelers-lose/,https://triblive.com/wp-content/uploads/2019/02/775306_web1_AP_18322833834025.jpg
Ethan Illers,"COLUMBIA - On a night where Mizzou's all-time leading scorer Derrick Chievous had his No. 3 raised to the rafters at Mizzou Arena, the Missouri Tiger men's basketball team lost to the No. 4 Kentucky Wildcats by a score of 66-58. Jordan Geist played a team-hig… [+516 chars]",A second half rally by the Tigers fell short.,2019-02-20T07:10:30Z,,Komu.com,Wildcats beat Tigers as Mizzou rally falls short - KOMU 8,https://www.komu.com/news/wildcats-beat-tigers-as-mizzou-rally-falls-short,https://dcer237tfveol.cloudfront.net/v2/lqmIhhNUir4t09aPgWr8OA_xbvgzjQ5VRayrAdFQxmAlbLnaRHt-Sn_A-qZn9sM0F-E469d5IszVIZvU8xKFMGLJ5P0_RRCT6U84shl8VUPQ
Josh Stirn,"""There’s not much trajectory I can get on the ball if he pulls my arm down,"" Bohannon said. “[He hit me] on my forearm. I guess that’s part of the ball, though.” (Photo: Jeffrey Becker, USA TODAY Sports) Maryland and Iowa might not be rivals, but they’ve had … [+5263 chars]","Maryland and Iowa might not be rivals, but they’ve had their fair share of battles since joining the Big Ten and even before that when they met in the 2013 NIT",2019-02-20T06:02:53Z,,247sports.com,"After Maryland Win, Iowa Guard Cries Foul - 247Sports",https://247sports.com/college/maryland/Article/Maryland-Basketball-Jordan-Bohannon-Anthony-Cowan-Terps-Iowa-Hawkeyes-Mark-Turgeon-Fran-McCaffery-Quotes-129287247/,"https://s3media.247sports.com/Uploads/Assets/960/815/8815960.jpg?fit=bounds&crop=1200:630,offset-y0.50&width=1200&height=630"
Jim Thomas,"Vladimir Tarasenko lost his points streak. The defense lost its shutout streak. But the Blues didn't lose. After squandering a 2-0 lead in the third period, Ryan O'Reilly's goal 34 seconds into overtime gave the Blues a 3-2 victory over Toronto and a franchis… [+12865 chars]","Schwartz, Parayko also have Blues' goals.",2019-02-20T05:45:00Z,,Stltoday.com,"O'Reilly's OT goal gives Blues franchise record 11th straight win, 3-2 over Toronto - STLtoday.com",https://www.stltoday.com/sports/hockey/professional/o-reilly-s-ot-goal-gives-blues-franchise-record-th/article_2f869160-a7f7-5dff-b228-30dd75a1b2a7.html,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/a/a0/aa05dda1-f5fe-5b29-a82f-8d716e8b8b34/5c6cc1c47d883.image.jpg?crop=1680%2C945%2C59%2C0&resize=1120%2C630&order=crop%2Cresize
,"Extended highlights of the Tampa Bay Lightning at the Philadelphia Flyers For the latest, exclusive hockey action, subscribe to our channel by clicking the big, red shiny SUBSCRIBE button Watch live hockey wherever you are: https://www.nhl.com/tv For breaking… [+196 chars]","Extended highlights of the Tampa Bay Lightning at the Philadelphia Flyers For the latest, exclusive hockey action, subscribe to our channel by clicking the b...",2019-02-20T05:36:30Z,,Youtube.com,02/19/19 Condensed Game: Lightning @ Flyers - NHL,https://www.youtube.com/watch?v=lWh9v1tXnQs,https://i.ytimg.com/vi/lWh9v1tXnQs/maxresdefault.jpg
Jeff Rabjohns,There are no moral victories at Indiana. There is no happiness in Hoosiers Nation when IU loses to Purdue. But considering...,There are no moral victories at Indiana. There is no happiness in Hoosiers Nation when IU loses to Purdue. But Indiana did at least find the fight that had been missing.,2019-02-20T03:36:08Z,,247sports.com,"There are no moral victories, but IU at least found some fight - 247Sports",https://247sports.com/college/indiana/Article/There-are-no-moral-victories-at-Indiana-but-IU-at-least-found-some-fight-129284056/,"https://s3media.247sports.com/Uploads/Assets/672/63/9063672.png?fit=bounds&crop=1200:630,offset-y0.50&width=1200&height=630"
,"CBS Sports R.J. White Feb. 11, 2019 The predicted pick: Cody Ford, T/G, Oklahoma It's an offensive line run in the middle of the first round. There could be as many as seven O-linemen taken in the first round, as a surprisingly deep class meets a clear need a… [+1367 chars]",,2019-02-19T20:26:34Z,,Vikings.com,Mock Madness 3.0: Pre-Combine Projections for Vikings in 1st Round - Vikings.com,https://www.vikings.com/news/mock-madness-3-0-pre-combine-projections-for-vikings-in-1st-round,https://static.clubs.nfl.com/image/private/t_editorial_landscape_12_desktop/vikings/nbgepsbp69fbhifmh2mk
The Associated Press,"PARIS (AP) The international governing body of fencing is giving a qualified thumbs-up to France's embrace of lightsaber duels. The Associated Press reported this week on the growth of lightsaber dueling in France, after the French fencing federation gave the… [+735 chars]",The international governing body of fencing is giving a qualified thumbs-up to France's embrace of lightsaber duels.,2019-02-19T17:52:40Z,,Wthr.com,Fencing body 'interested' in France's embrace of lightsaber - WTHR,https://www.wthr.com/article/fencing-body-interested-frances-embrace-lightsaber,https://www.wthr.com/sites/default/files/styles/article_image/public/images/2019/02/19/lightsaberfencing_ap970px.jpg?itok=xKBAeDOD
Matt Wenzel | mwenzel2@mlive.com,"EAST LANSING Kaleb Wesson stands 6-foot-9 and 270 pounds. Moving the Ohio State forward in the paint isnt an easy task and that was one thrust upon Thomas Kithier on Sunday afternoon. I cant remember the last time Ive gone against somebody that big, the Michi… [+5022 chars]",Ward broke his left hand in Sunday's win against Ohio State.,2019-02-19T12:30:00Z,,Mlive.com,Thomas Kithier ready to help fill void with Nick Ward out - MLive.com,https://www.mlive.com/sports/2019/02/thomas-kithier-ready-to-help-fill-void-with-nick-ward-out.html,https://i.mlive.com/resizer/TSKD_5fK5q2bdJ9-N7fZJ6v-1wk=/620x0/arc-anglerfish-arc2-prod-advancelocal/public/DEEEXTONO5HKVO5DHNNX7AD2ZI.JPG
